Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
382260;8Bit Fiesta - Party Game;12652;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;375;258;1;0;29;0;0;0;0;1;0.304200428;5
346900;AdVenture Capitalist;1543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45085;6024;180;201;1772;1;1;1;0;1;0.037099372;2
217750;Age of Conan: Unchained;9762;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1469;661;114;0;74;0;1;0;0;1;0.234714241;4
314970;Age of Conquest IV;7092;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1871;449;1295;0;42;0;1;0;0;1;0.17051766;4
206500;AirMech Strike;5596;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;8380;1588;77;0;36;0;1;0;0;1;0.13454834;4
761890;Albion Online;190;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;36532;9249;134;340;7485;1;1;1;1;1;0.004568296;1
381640;Allods Online RU;6958;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;750;416;360;695;604;0;1;0;0;1;0.167295809;4
1546930;Angry Angry Shark;12524;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;143;30;0;0;2;0;0;0;0;1;0.301122839;5
591960;Animation Throwdown: The Quest for Cards;1951;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2299;764;773;0;90;1;1;1;0;1;0.046909187;2
113400;APB Reloaded;1862;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;22714;12974;139;68;288;1;1;1;0;1;0.044769301;2
1172470;Apex Legends;4;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;364197;55904;907;487;210002;1;1;1;1;1;9.62E-05;1
304030;ArcheAge;10455;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;3674;3375;251;0;73;0;0;0;0;1;0.2513765;5
1147660;ArcheAge: Unchained;3994;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;2034;1431;18223;0;69;1;1;0;0;1;0.096030391;3
385530;Astro Lords;15696;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;35;8;0;0;0;0;0;0;0;1;0.377389339;5
1073130;Atlantis Royale;15169;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;35;8;0;0;0;0;0;0;0;1;0.364718328;5
557780;Atom Fishing II;5899;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1076;359;125;0;156;0;1;0;0;1;0.14183357;4
349720;Audition Online;6764;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;898;567;189;0;45;0;1;0;0;1;0.162631339;4
268420;Aura Kingdom;2831;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;6798;1826;80;0;109;1;1;0;0;1;0.068067611;3
666860;Bit Heroes;2164;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1925;461;563;0;268;1;1;0;0;1;0.052030487;3
550650;Black Squad;807;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;59822;18358;68;27;1156;1;1;1;0;1;0.019403236;2
299360;Block N Load;12361;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;12098;3349;83;0;33;0;0;0;0;1;0.297203722;5
302830;BLOCKADE 3D;13948;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;15591;11275;68;4;14;0;0;0;0;1;0.335361016;5
6370;Bloodline Champions;16576;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1406;240;620;0;9;0;0;0;0;1;0.398547763;5
444640;Bloons TD Battles;1795;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;22364;2433;147;109;568;1;1;1;0;1;0.043158376;2
662830;Bombix;9713;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;873;383;50;0;54;0;1;0;0;1;0.233536102;4
346120;Boring Man - Online Tactical Stickman Combat;10313;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1;4618;655;59;74;25;0;1;0;0;1;0.2479623;4
291550;Brawlhalla;100;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;232981;43127;190;82;21862;1;1;1;1;1;0.002404366;1
22350;BRINK;8041;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4391;2720;76;0;22;0;1;0;0;1;0.193335097;4
397900;Business Tour - Board Game with Online Multiplayer;1196;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;35963;22818;296;147;1978;1;1;1;0;1;0.028756221;2
327640;CaesarIA;13983;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;801;559;5;0;5;0;0;0;0;1;0.336202544;5
672680;Call of War: World War 2;3777;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2285;1139;676;0;648;1;1;0;0;1;0.090812916;3
360730;Cards and Castles;13016;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;544;196;0;0;12;0;0;0;0;1;0.312952321;5
9880;Champions Online;1804;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2668;1061;139;0;132;1;1;1;0;1;0.043374769;2
363970;Clicker Heroes;1766;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;51313;5719;244;1275;3149;1;1;1;0;1;0.042461109;2
463060;Clover Tale;6374;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;561;190;0;0;18;0;1;0;0;1;0.15325431;4
730;Counter-Strike: Global Offensive;2;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;5556495;742708;7242;294;712482;1;1;1;1;1;4.81E-05;1
893520;Creative Destruction;3503;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14538;4030;267;0;142;1;1;0;0;1;0.084224953;3
402840;Crusaders of the Lost Idols;2080;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2330;451;128;0;941;1;1;0;0;1;0.05001082;3
459820;Crush Crush;478;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;18340;1900;455;28;1584;1;1;1;0;1;0.011492871;2
317470;Cubic Castles;9818;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3140;1130;77;0;44;0;1;0;0;1;0.236060686;4
24200;DC Universe Online;2608;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14338;3598;498;158;622;1;1;0;0;1;0.062705874;3
667890;Dead Maze;6969;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;3073;1073;105;0;134;0;1;0;0;1;0.167560289;4
311730;DEAD OR ALIVE 5 Last Round: Core Fighters;1625;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5788;2917;29;0;57;1;1;1;0;1;0.039070953;2
466240;Deceit;1169;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;62670;16803;88;281;1082;1;1;1;0;1;0.028107042;2
